environment,backend,case,round,frames,frame_ms_median,frame_ms_p95,frame_ms_p99,frame_ms_max,halo_ms_median,halo_ms_p95,halo_ms_p99,halo_ms_max,allocated_bytes_median,allocated_bytes_p95,allocated_bytes_p99,allocated_bytes_max,submissions_median,submissions_p95,submissions_p99,submissions_max,uploaded_bytes_median,uploaded_bytes_p95,uploaded_bytes_p99,uploaded_bytes_max,warm_reentry_peak_ms
pack,cached,0,1,494,9.93195,11.86207,14.87181,25.0061,5.8238,6.78449,7.40915,9.0138,2874424.0,2874424.0,2874424.0,2920728.0,640.0,640.0,640.0,640.0,0.0,0.0,0.0,0.0,12.7409
pack,cached,0,2,507,9.6803,11.07916,14.58971,22.1008,5.771,6.35079,6.78071,10.8432,2873944.0,2873944.0,2873944.0,2873944.0,640.0,640.0,640.0,640.0,0.0,0.0,0.0,0.0,11.5127
pack,cached,1,0,742,6.55915,8.11578,9.88914,19.1019,2.93695,3.48831,3.90196,15.1105,1247416.0,1249056.0,1249056.0,1249056.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,7.8839
pack,cached,1,1,772,6.36295,7.47155,8.81152,17.6761,2.91435,3.18364,3.3338,6.2234,1247416.0,1247416.0,1247416.0,1247416.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,17.6368
pack,cached,1,2,769,6.3217,7.55532,10.39105,17.7204,2.9006,3.2455,3.44603,3.7841,1247400.0,1247400.0,1247400.0,1248296.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,12.3357
pack,cached,2,0,772,6.2999,7.64578,8.84062,20.958,2.8837,3.42731,3.66876,15.5616,1245304.0,1245304.0,1245304.0,1245536.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,19.458
pack,cached,2,1,786,6.25565,7.33045,8.11524,19.3672,2.9016,3.256,3.50204,3.8291,1245208.0,1245208.0,1245208.0,1245208.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,7.0695
pack,cached,2,2,781,6.2954,7.4622,8.3257,13.8701,2.9367,3.229,3.56302,4.6121,1245184.0,1245208.0,1245208.0,1245208.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,8.5308
pack,cached,3,0,782,5.8717,10.50032,13.55355,21.8427,2.3276,2.77897,3.08232,4.3959,970224.0,970224.0,970224.0,970224.0,256.0,256.0,256.0,256.0,0.0,0.0,0.0,0.0,8.8
pack,cached,3,1,870,5.5479,7.04355,7.86271,22.339,2.27665,2.55934,2.85712,4.0226,970184.0,970184.0,970184.0,970184.0,256.0,256.0,256.0,256.0,0.0,0.0,0.0,0.0,7.4505
pack,cached,3,2,873,5.557,7.12138,8.32581,16.5002,2.3208,2.57684,2.79605,3.4735,970184.0,970184.0,970184.0,970184.0,256.0,256.0,256.0,256.0,0.0,0.0,0.0,0.0,7.842
pack,cached,4,0,1184,4.1236,5.6628,6.8265,17.8349,0.3115,0.38097,0.51099,1.0745,147976.0,147976.0,147976.0,147976.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,8.5497
pack,cached,4,1,1182,4.1158,5.7316,7.57699,10.9069,0.32305,0.39204,0.46696,1.1693,147976.0,147976.0,147976.0,147976.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,8.8941
pack,cached,4,2,1183,4.1125,5.69902,7.20959,20.2862,0.3116,0.39042,0.54086,1.8317,147976.0,147976.0,147976.0,147976.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,17.1476
pack,cached,5,0,1111,4.3094,6.2626,9.07862,24.9946,0.2184,0.26565,0.32752,1.0776,66800.0,66800.0,66800.0,66800.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,7.1039
pack,cached,5,1,1159,4.1619,6.13621,7.41554,14.3653,0.1846,0.23231,0.39425,1.0051,66800.0,66800.0,66800.0,66800.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,6.2144
pack,cached,5,2,1161,4.1754,5.9898,7.06112,16.9396,0.1835,0.2229,0.28678,0.9531,66800.0,66800.0,66800.0,66800.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,7.687
pack,compatibility,0,0,1057,4.4655,6.57382,8.43641,21.8024,0.5758,0.8811,1.16663,3.2187,1314688.0,1345168.0,1345168.0,1345200.0,1.0,1.0,1.0,1.0,61440.0,61440.0,61440.0,61440.0,7.4959
pack,compatibility,0,1,1154,4.12055,5.81579,6.63133,19.2467,0.60425,0.82959,1.06439,8.2052,1314688.0,1314688.0,1314688.0,1314800.0,1.0,1.0,1.0,1.0,61440.0,61440.0,61440.0,61440.0,6.6302
pack,compatibility,0,2,1193,4.0678,5.36084,6.315,8.7138,0.5737,0.75458,0.86911,1.0415,1312520.0,1312520.0,1313048.0,1313048.0,1.0,1.0,1.0,1.0,61440.0,61440.0,61440.0,61440.0,5.8177
pack,compatibility,1,0,794,6.1366,7.55286,8.55902,15.1523,2.76765,3.302,4.11618,5.5222,2577792.0,2577792.0,2582567.68,2634112.0,1.0,1.0,1.0,1.0,1474560.0,1474560.0,1474560.0,1474560.0,8.3979
pack,compatibility,1,1,788,6.06625,8.03496,9.69415,21.7087,2.7737,3.59139,4.71545,11.2365,2577792.0,2578640.0,2578640.0,2578640.0,1.0,1.0,1.0,1.0,1474560.0,1474560.0,1474560.0,1474560.0,7.1517
pack,compatibility,1,2,826,5.88785,7.19625,8.7418,15.0698,2.7167,3.0572,3.36005,4.5838,2578640.0,2578640.0,2578640.0,2578872.0,1.0,1.0,1.0,1.0,1474560.0,1474560.0,1474560.0,1474560.0,6.9354
